A00-1031	0.7013211947
W97-0307	0.0118390400
P99-1036	0.0078492790
P10-2039	0.0063242626
W98-1117	0.0055400801
W95-0101	0.0048013239
W96-0102	0.0045911644
J01-2002	0.0041466092
N03-1033	0.0040906856
W09-0715	0.0040828468
P99-1023	0.0038927584
A92-1018	0.0038698789
E12-1050	0.0038411818
J93-2006	0.0038346916
P96-1025	0.0038333037
W00-1308	0.0036814614
C08-1098	0.0035673663
W96-0213	0.0032937706
J95-2001	0.0032239592
J95-4004	0.0032124526
P08-1085	0.0031924328
P97-1032	0.0031877294
J94-2001	0.0031798887
P98-1029	0.0031453216
P06-1089	0.0030399963
W05-0708	0.0030184463
A94-1009	0.0030142451
P06-2028	0.0030111188
C94-1032	0.0028777834
A92-1021	0.0028462851
P08-1083	0.0028376527
Q14-1009	0.0027882262
C94-1027	0.0027759208
Q14-1002	0.0027744069
P08-1101	0.0027671701
D10-1083	0.0027599136
C96-1058	0.0027557723
E09-1042	0.0027310729
C04-1067	0.0027280916
P14-2132	0.0027202750
H05-1107	0.0026873554
E09-1087	0.0026802925
W07-1516	0.0026392941
W14-6101	0.0026204996
P09-1055	0.0025741215
A00-2031	0.0025449679
W03-0407	0.0025360330
D13-1004	0.0025352999
W02-1001	0.0025068425
P12-1111	0.0024942482
J88-1003	0.0024677426
W11-0301	0.0024547940
D13-1061	0.0024341714
C94-2119	0.0024316211
N09-2054	0.0024192489
P07-1094	0.0024152867
C00-1028	0.0024129488
A97-1014	0.0023987893
A00-2018	0.0023846866
D13-1120	0.0023815143
P02-1055	0.0023667386
P09-1057	0.0023598189
J97-3003	0.0023314729
N13-1014	0.0023094903
D13-1032	0.0023065625
P06-3002	0.0023047200
C94-2195	0.0022817165
C00-2162	0.0022666200
W03-1728	0.0022541564
J97-2002	0.0022298977
C00-1072	0.0022025806
E99-1018	0.0022008470
C00-2137	0.0021482466
P05-1039	0.0020923582
W10-1408	0.0020805760
P97-1056	0.0019823487
A94-1013	0.0019767994
D10-1079	0.0019475775
W06-1670	0.0019452765
P06-1041	0.0018947851
N13-1039	0.0017683505
W04-3209	0.0017385596
W06-2005	0.0017277505
N09-1013	0.0016806583
W03-0806	0.0015261075
D10-1069	0.0014895393
D12-1028	0.0013680524
W05-0405	0.0012827792
D09-1060	0.0012493297
W08-0307	0.0012355588
P07-1041	0.0012063913
D08-1019	0.0011973011
D11-1017	0.0011934486
P13-1028	0.0011690309
W04-1217	0.0011148995
P11-1097	0.0010558382
W06-0205	0.0010417711
W12-0103	0.0010315971
W04-3214	0.0009781481
W03-0314	0.0009322200
W02-0904	0.0008639453
P05-1071	0.0008074602
W04-2405	0.0007857808
N04-4038	0.0007787468
P95-1037	0.0007675705
P03-1054	0.0007169082
J11-1005	0.0006751061
P04-1042	0.0006709704
P05-1012	0.0006142747
A97-1051	0.0006142520
J92-4003	0.0005942886
J93-2003	0.0005894546
W02-2018	0.0005799340
H94-1048	0.0005450636
W03-0428	0.0005049100
N01-1006	0.0005042830
J98-4004	0.0005038199
W06-2920	0.0004749941
P05-1045	0.0004637890
H93-1061	0.0004596783
C04-1097	0.0004539556
P99-1046	0.0004493263
P04-1061	0.0004427520
P90-1005	0.0004397996
P06-2029	0.0004353577
P97-1003	0.0004350745
P12-1023	0.0004289651
J02-3001	0.0004052110
W02-0109	0.0004038923
P10-1020	0.0004015029
C92-2082	0.0003975360
W06-3108	0.0003951021
P04-1036	0.0003893553
P03-1056	0.0003877560
P14-1024	0.0003837410
W11-2102	0.0003817926
P02-1022	0.0003773185
P08-1068	0.0003715229
P10-1003	0.0003665958
J03-1002	0.0003625015
W06-2932	0.0003620941
D14-1115	0.0003604136
H92-1045	0.0003603139
W04-1213	0.0003540255
P00-1065	0.0003440983
P03-1021	0.0003312233
W06-2914	0.0003310775
D08-1059	0.0003273241
W05-1612	0.0003226722
P13-2019	0.0003170556
P11-2112	0.0003136167
P05-1056	0.0002996765
D07-1013	0.0002976253
W08-1105	0.0002974288
P07-1059	0.0002925638
J05-3002	0.0002908748
J11-2003	0.0002895486
W03-1007	0.0002878505
W97-0703	0.0002809548
P08-1082	0.0002796393
P00-1056	0.0002764509
P02-1040	0.0002733236
E06-1021	0.0002706420
P04-1055	0.0002696614
P06-1037	0.0002680901
W11-1607	0.0002565310
J99-2004	0.0002551786
W06-1615	0.0002504815
N01-1020	0.0002394173
J08-4003	0.0002388834
P07-2045	0.0002385307
W11-1606	0.0002382707
P02-1038	0.0002304664
P11-2127	0.0002284022
P98-2145	0.0002268431
W12-3207	0.0002257174
C04-1056	0.0002012950
P03-1004	0.0001994864
E03-1071	0.0001692218
