A00-1014	0.7046234216
W01-1621	0.0354143263
P97-1034	0.0129141969
J97-1006	0.0116394155
P99-1024	0.0106650613
P98-2219	0.0095883265
P99-1040	0.0088793351
W97-0601	0.0082997051
W13-4034	0.0081327867
P98-2188	0.0080725564
J97-1001	0.0080311259
N07-2038	0.0079228505
W12-1634	0.0078181844
W11-2006	0.0077962304
P97-1035	0.0077656172
P04-1044	0.0077092272
D10-1084	0.0076351746
P01-1066	0.0076221730
W11-2020	0.0071133636
A00-2028	0.0070865304
E09-1085	0.0068401473
J08-4002	0.0065529528
P99-1026	0.0065090803
P10-1008	0.0064932281
W13-4005	0.0064480481
N04-3002	0.0063040773
P02-1049	0.0061724140
W00-0306	0.0060310393
P94-1001	0.0060102792
N07-1034	0.0059484351
N09-2014	0.0055940128
W09-3902	0.0055927070
P10-1103	0.0054983234
J11-1006	0.0053269908
P96-1009	0.0051556695
P10-4003	0.0050923027
J97-1002	0.0049061811
N06-1047	0.0047945027
